Smiles,Log10 Value (nM),Category,subcategoria_nombre
COc1cccc(-c2nc(SC)n(C)c(=O)c2C#N)c1OC,5.325,Alto,Rango Inferior Medio - Potencia
CCOC(=O)c1ccc(N/N=C(\C(=O)O)C(=O)C(F)(F)F)cc1,4.984,Alto,Rango Superior Medio - Potencia
O=c1cc(/C=C/C=C/c2ccc(O)c(O)c2)oc2cccc(O)c12,4.973,Alto,Rango Superior Medio - Potencia
O=C(/C=C/c1ccccc1)OCCOc1no[n+]([O-])c1S(=O)(=O)c1ccccc1,7.0,Alto,Valores Bajos - Potencia
COc1cc(/C=C/C(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,6.683,Alto,Valores Bajos - Potencia
O=C(O)CC1(C/N=C/c2ccccc2Cl)CCCCC1,5.609,Alto,Rango Inferior Medio - Potencia
O=c1ccc2cc(O)c(O)cc2o1,8.326,Alto,Valores Bajos - Potencia
Cn1c(NN)nc(-c2ccccc2O)c(C#N)c1=O,5.252,Alto,Rango Inferior Medio - Potencia
O=C(CCCc1nc2ccccc2c(=O)[nH]1)N/N=C/c1ccc([N+](=O)[O-])cc1,8.431,Alto,Valores Bajos - Potencia
O=c1ccc2cc3ccoc3c(O)c2o1,4.843,Alto,Valores Altos - Potencia
Oc1ccc2ccccc2c1/C=N/n1c(S)nnc1-c1cnccn1,4.84,Alto,Valores Altos - Potencia
OC1(c2ccc3c(c2)Nc2ccccc2S3)CN2CCCCC2CO1,5.265,Alto,Rango Inferior Medio - Potencia
CC/C(C)=N\Nc1nc(-c2cccc([N+](=O)[O-])c2)cs1,6.072,Alto,Valores Bajos - Potencia
Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,5.396,Alto,Rango Inferior Medio - Potencia
O=C(CCc1nc2ccccc2c(=O)[nH]1)N/N=C/c1ccc(Cl)cc1,8.267,Alto,Valores Bajos - Potencia
CC1=NN(C(=O)c2cc3ccccc3oc2=O)C(=O)C1CNc1ccc(O)cc1,8.75,Alto,Valores Bajos - Potencia
COc1c(C)c(C)c2c(c1C)CCC(C)(/C=[N+](\[O-])C1CC1)O2,5.471,Alto,Rango Inferior Medio - Potencia
O=C(O)c1ccc(/N=C/c2cc3ccccc3[nH]c2=O)cc1,6.221,Alto,Valores Bajos - Potencia
Cc1ccc2[nH]c(=O)c(/C=N/CCO)cc2c1,6.622,Alto,Valores Bajos - Potencia
O=C1c2ccccc2C=[N+]([O-])C12CCCC2,5.196,Alto,Rango Superior Medio - Potencia
NCCc1c[nH]c2ccccc12,5.834,Alto,Valores Bajos - Potencia
COc1ccc(CC(=O)c2ccc(O)cc2O)cc1,6.176,Alto,Valores Bajos - Potencia
Cc1ccc2[nH]c(=O)c(/C=N/NC(=O)Cc3ccncc3)cc2c1,6.671,Alto,Valores Bajos - Potencia
CN(C)Cc1cc(/C=C2\CCC/C(=C\c3ccc(O)c(CN(C)C)c3)C2=O)ccc1O,5.0,Alto,Rango Superior Medio - Potencia
Oc1ccccc1-c1cc(-c2ccc(F)cc2)[nH]c(=S)n1,6.224,Alto,Valores Bajos - Potencia
O=c1c2c(O)cccc2oc2cccc(-c3ccc(O)c(O)c3)c12,4.903,Alto,Valores Altos - Potencia
O=C(/C=C/c1ccccc1O)/C=C/c1ccccc1O,5.699,Alto,Rango Inferior Medio - Potencia
CCOP(=O)(OCC)C(C)(C)/[N+]([O-])=C/c1cccc(O)c1,5.09,Alto,Rango Superior Medio - Potencia
C/C=C(/C)C(=O)OCc1c(C(C)=O)c(O)c(OC)c2c1[C@@H](C)CC=C2,5.301,Alto,Rango Inferior Medio - Potencia
[O-][N+]1=Cc2ccccc2C(O)C12CCCCC2,5.732,Alto,Valores Bajos - Potencia
CC(=O)OC[C@@]1(C)CCC[C@]2(C)[C@H]1C[C@H](OC(C)=O)[C@@]13C[C@@H](CC[C@@H]21)[C@](C)(O)C3,5.301,Alto,Rango Inferior Medio - Potencia
Cc1cccc(-c2nnc3ccc(N4CCN(CCN)CC4)nn23)c1,4.877,Alto,Valores Altos - Potencia
CC(=O)Oc1c(O)c(-c2ccc(O)cc2)c(OC(C)=O)c(O)c1-c1ccc(O)cc1,5.699,Alto,Rango Inferior Medio - Potencia
[O-][N+]1=Cc2ccccc2C(O)C12CCCC2,6.017,Alto,Valores Bajos - Potencia
Oc1cc(Br)c(Cc2ccccc2)cc1O,5.214,Alto,Rango Superior Medio - Potencia
